"id","created","status","partner_id","user_id","flow_id","week_num","community_id","status_question_answered","impression","impression_details","is_legacy","is_restored","original_impression","impression_synced_to_analytics","sent_synced_to_analytics","status_synced_to_analytics"
461589,"2021-09-27 11:30:02.237188+00",3,"a5ded2ff-5d1c-4eb4-a7c7-5269d734d9d6","46d26d74-a415-4be6-a1f2-2e55d267da51","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"other_reason",,,,"other_reason",TRUE,TRUE,TRUE
461588,"2021-09-27 11:30:02.237136+00",3,"46d26d74-a415-4be6-a1f2-2e55d267da51","a5ded2ff-5d1c-4eb4-a7c7-5269d734d9d6","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"was_busy",,,,"was_busy",TRUE,TRUE,TRUE
461569,"2021-09-27 11:30:02.236418+00",3,"1d1c3c30-8238-406b-a654-f96b9c240155","9b614b77-a4c2-4865-8e72-5dc6f05091b4","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,,,,,,,,TRUE,TRUE
461568,"2021-09-27 11:30:02.236369+00",3,"9b614b77-a4c2-4865-8e72-5dc6f05091b4","1d1c3c30-8238-406b-a654-f96b9c240155","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"partner_was_ignoring",,,,"partner_was_ignoring",TRUE,TRUE,TRUE
461565,"2021-09-27 11:30:02.236221+00",3,"daf2e24b-0c43-4af2-95d9-976699142fab","3379bd54-8d49-419f-9752-381e353da6f8","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"other_reason",,,,"other_reason",TRUE,TRUE,TRUE
461564,"2021-09-27 11:30:02.234611+00",3,"3379bd54-8d49-419f-9752-381e353da6f8","daf2e24b-0c43-4af2-95d9-976699142fab","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,,,,,,,,TRUE,TRUE
461553,"2021-09-27 11:30:02.233955+00",3,"9927d803-6fcc-4edf-aa96-394133a95bac","db5bb1ee-14b2-4166-a62b-c2479194c7b8","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"forgot",,,,"forgot",TRUE,TRUE,TRUE
461552,"2021-09-27 11:30:02.233702+00",3,"db5bb1ee-14b2-4166-a62b-c2479194c7b8","9927d803-6fcc-4edf-aa96-394133a95bac","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,,,,,,,,TRUE,TRUE
461549,"2021-09-27 11:30:02.233308+00",3,"278bf6df-5b5d-4649-ace3-2e979f09cc51","526f1d09-f0a8-4a32-9f98-928eb617c16e","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"later",,,,"later",TRUE,TRUE,TRUE
461548,"2021-09-27 11:30:02.233198+00",3,"526f1d09-f0a8-4a32-9f98-928eb617c16e","278bf6df-5b5d-4649-ace3-2e979f09cc51","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"could_not_find_time",,,,"could_not_find_time",TRUE,TRUE,TRUE
461545,"2021-09-27 11:30:02.23305+00",3,"c5bd700f-69f1-472b-8940-1fcddd9f1f3e","1d420f74-be9d-4129-9f56-456a9c8a0467","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"other_reason",,,,"other_reason",TRUE,TRUE,TRUE
461544,"2021-09-27 11:30:02.23301+00",3,"1d420f74-be9d-4129-9f56-456a9c8a0467","c5bd700f-69f1-472b-8940-1fcddd9f1f3e","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,,,,,,,,TRUE,TRUE
461525,"2021-09-27 11:30:02.231736+00",3,"80fb8b01-b59b-43c1-b86e-90655a6cb70a","c4801902-d94f-4f6e-bf4a-4ef220c718b1","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,,,,,,,,TRUE,TRUE
461524,"2021-09-27 11:30:02.231628+00",3,"c4801902-d94f-4f6e-bf4a-4ef220c718b1","80fb8b01-b59b-43c1-b86e-90655a6cb70a","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"was_busy",,,,"was_busy",TRUE,TRUE,TRUE
461521,"2021-09-27 11:30:02.231476+00",3,"3a011097-ce28-4934-b3d5-bd122cebd70b","d5441aa3-2667-4303-ac91-154bcde8d8fb","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"forgot",,,,"forgot",TRUE,TRUE,TRUE
461520,"2021-09-27 11:30:02.23141+00",3,"d5441aa3-2667-4303-ac91-154bcde8d8fb","3a011097-ce28-4934-b3d5-bd122cebd70b","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"later",,,,"later",TRUE,TRUE,TRUE
461509,"2021-09-27 11:30:02.112757+00",3,"dcdfb11c-c32a-4f24-9c0c-b35df2aa955f","b6b33add-0895-42ce-935d-4030d0bb8746","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"partner_was_ignoring",,,,"partner_was_ignoring",TRUE,TRUE,TRUE
461508,"2021-09-27 11:30:02.112721+00",3,"b6b33add-0895-42ce-935d-4030d0bb8746","dcdfb11c-c32a-4f24-9c0c-b35df2aa955f","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"could_not_find_time",,,,"could_not_find_time",TRUE,TRUE,TRUE
461501,"2021-09-27 11:30:02.11246+00",3,"bf5e4a4a-e77d-4459-b58a-3a460a89efa7","cf71d3af-0f4b-4772-8cfa-c174b5915fa0","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,TRUE,"was_busy",,,,"was_busy",TRUE,TRUE,TRUE
461500,"2021-09-27 11:30:02.112423+00",3,"cf71d3af-0f4b-4772-8cfa-c174b5915fa0","bf5e4a4a-e77d-4459-b58a-3a460a89efa7","e548081b-1ce6-47cf-b6b9-b8c0343b3bf0",125,7,,,,,,,,TRUE,TRUE
450127,"2021-09-20 11:30:02.251212+00",3,"db001f76-ad80-445e-8533-89c20a529127","86d0f0c6-0085-4302-a60a-adee6056f9ea","2e42d60b-0c54-4a8f-a9e7-c107ded03725",124,7,TRUE,"forgot",,,,"forgot",TRUE,TRUE,TRUE
450126,"2021-09-20 11:30:02.251177+00",3,"86d0f0c6-0085-4302-a60a-adee6056f9ea","db001f76-ad80-445e-8533-89c20a529127","2e42d60b-0c54-4a8f-a9e7-c107ded03725",124,7,,,,,,,,TRUE,TRUE
450111,"2021-09-20 11:30:02.238331+00",3,"1c746108-22e1-451f-ae16-f987faa28fa8","82c32dd2-11f8-4d71-b978-58ab22f312cd","2e42d60b-0c54-4a8f-a9e7-c107ded03725",124,7,TRUE,"partner_was_ignoring",,,,"partner_was_ignoring",TRUE,TRUE,TRUE
450110,"2021-09-20 11:30:02.238291+00",3,"82c32dd2-11f8-4d71-b978-58ab22f312cd","1c746108-22e1-451f-ae16-f987faa28fa8","2e42d60b-0c54-4a8f-a9e7-c107ded03725",124,7,TRUE,"could_not_find_time",,,,"could_not_find_time",TRUE,TRUE,TRUE
450095,"2021-09-20 11:30:02.237432+00",3,"5ec2fa89-c690-4632-af79-74fe473237d2","54af5083-a875-450b-9791-868ee54c97ea","2e42d60b-0c54-4a8f-a9e7-c107ded03725",124,7,,,,,,,,TRUE,TRUE
450094,"2021-09-20 11:30:02.237397+00",3,"54af5083-a875-450b-9791-868ee54c97ea","5ec2fa89-c690-4632-af79-74fe473237d2","2e42d60b-0c54-4a8f-a9e7-c107ded03725",124,7,TRUE,"was_busy",,,,"was_busy",TRUE,TRUE,TRUE
